,song,genre,duration,tempo,tempo_changes,tempo_confidence,sub_strength,bass_strength,lomid_strength,mid_strength,himid_strength,pres_strength,brill_strength,mean_RMS,std_RMS,spectral_centroid,spectral_bandwidth,band 0_contrast,band 1_contrast,band 2_contrast,band 3_contrast,mean_flatness,peak_flatness,rolloff(0.5),tuning
34,2-50 El Amor Brujo_ Ritual Fire Danc.wav,classical,221.91310657596372,143.5546875,0.6277463904582549,0.4471646788030969,-52.83273696899414,-39.546302795410156,-41.77286148071289,-51.577125549316406,-59.86750793457031,-66.78250122070312,-73.152099609375,0.05192020535469055,0.04499555751681328,1636.5917763471607,1772.8820161760136,23.089317863030217,15.42644546139087,20.095416995680715,44.26035281979172,0.006979250814765692,0.08603834360837936,998.632145825977,0.21999999999999997
35,1-34 Der Rosenkavalier_ Waltz.wav,classical,200.99891156462584,123.046875,1.02806977012822,0.3949405105694813,-59.85596466064453,-51.00271224975586,-44.30757141113281,-52.15806579589844,-60.150943756103516,-66.75404357910156,-74.09270477294922,0.057875856757164,0.041580043733119965,1800.445045162931,1816.33494246269,19.930421438107775,16.8948823600427,21.770098490083285,44.61335488348903,0.003887029830366373,0.04237718507647514,1169.6357366600005,0.07000000000000006
36,1-38 Die Meistersinger Von Nürnberg_.wav,classical,408.5273469387755,123.046875,0.6593156757985676,0.5106854609525975,-67.59480285644531,-45.692527770996094,-40.79167938232422,-54.721466064453125,-64.50711059570312,-71.87042999267578,-78.20157623291016,0.05736911669373512,0.03647454082965851,1269.3780362896975,1401.4038130378003,24.287035013770563,19.3243117024362,23.327781270180125,44.01187763673521,0.0012114897835999727,0.01322244107723236,797.518539645529,0.35
37,"2-30 Egyptian March, Op. 335.wav",classical,244.39133786848072,107.666015625,0.42751282538476154,0.4447083412502375,-47.337799072265625,-39.130760192871094,-39.770164489746094,-50.74723815917969,-58.66292953491211,-63.784000396728516,-70.1751708984375,0.04686060920357704,0.03535856679081917,1676.542949579616,1984.135299784487,18.80780795813962,14.755377437652688,19.28025578599664,39.732588134715705,0.009997992776334286,0.11761830002069473,902.2291412150568,0.24
38,"1-43 Daphnis Et Chloé, Suite No. 2_.wav",classical,272.22902494331066,129.19921875,0.861480723302627,0.31380075059706586,-53.40301513671875,-37.06279754638672,-38.00449752807617,-47.00742721557617,-57.01329040527344,-64.71890258789062,-72.06558227539062,0.03892882168292999,0.03425895422697067,1570.7513870898983,1755.9112630970944,21.856727274826483,13.823799292510676,17.470746532488832,42.706382360283975,0.008609037846326828,0.13699230551719666,923.5988277251791,0.07000000000000006
39,2-25 Der Freischütz_ Overture.wav,classical,565.4813605442176,112.34714673913044,0.7514166050751417,0.2700583066436725,-53.983436584472656,-46.05620193481445,-42.89459991455078,-54.40846633911133,-63.754791259765625,-70.58610534667969,-75.79109954833984,0.09053412824869156,0.07782763242721558,1299.2070763852535,1510.2084588602288,17.39933930273586,17.646779619087194,22.104194513751512,46.06437839408479,0.0029693797696381807,0.051920920610427856,740.9326388407706,0.14
40,2-20 Concerto for Harp and Orchestra.wav,classical,641.1093424036281,99.38401442307692,0.905436239180037,0.16866466263445729,-65.19221496582031,-52.8735466003418,-47.15561294555664,-62.401611328125,-72.3966064453125,-77.15034484863281,-79.3167724609375,0.05921274051070213,0.04614870995283127,994.2068582025638,1261.7995378109547,21.95014233904898,18.306283510545494,23.099307623326606,46.56588589989765,0.0005711539997719228,0.0220477394759655,568.6435343151846,0.41000000000000003
41,2-26 The Damnation of Faust_ Hungari.wav,classical,271.16263038548755,99.38401442307692,0.5051802380340783,0.5128863772583269,-45.26909255981445,-38.87452697753906,-38.39578628540039,-46.44282531738281,-55.05986022949219,-64.04208374023438,-71.297119140625,0.06333667784929276,0.051321350038051605,1621.61237604103,1709.400753891636,18.248463970736644,15.516358728770443,20.31271654263342,44.43927517432876,0.008720256388187408,0.15654772520065308,1034.8392058361965,0.07000000000000006
42,1-05 Concerto for 2 Oboes and 2 Clar.wav,classical,273.1093424036281,112.34714673913044,0.46760754973643937,0.6105254208467947,-63.39580154418945,-48.86822509765625,-46.48908996582031,-50.393714904785156,-58.9863395690918,-68.81053161621094,-77.48915100097656,0.07315666228532791,0.04636099562048912,1618.2179434764319,1465.3437623648408,24.661881142990588,18.27892261756063,23.083661522136957,51.41417626719346,0.0025794345419853926,0.02112332172691822,1178.6691749649294,0.14
43,"1-18 Clarinet Concerto In a Major, K.wav",classical,468.50902494331064,123.046875,0.8623253047873922,0.4280899990088215,-62.19307327270508,-51.280433654785156,-50.5703010559082,-61.00980758666992,-68.0686264038086,-75.57209014892578,-79.23332977294922,0.04181278869509697,0.0368044339120388,1136.6654954295145,1309.2672438733605,22.804078591197868,21.236170915353796,27.65810636879866,47.4466653602308,0.0005882731056772172,0.011899512261152267,648.6682684266281,0.20999999999999996
44,2-33 Carnival of the Animals_ XIII..wav,classical,188.2861678004535,117.45383522727273,1.0482180293501049,0.3492415834258232,-56.40279769897461,-47.626495361328125,-51.55791091918945,-68.9809341430664,-75.14865112304688,-79.0037612915039,-79.6222915649414,0.030676530674099922,0.026478758081793785,923.0811101019477,1362.1731665718155,23.366521895490813,19.411643532658193,24.08496441851346,42.9350569005623,0.0030104867182672024,0.004638717044144869,406.8763656700888,0.15000000000000002
45,1-01 Brandenburg Concerto No. 3 In G.wav,classical,400.2842630385488,112.34714673913044,0.5162712454318696,0.517373397528859,-53.954444885253906,-35.398597717285156,-35.391815185546875,-47.00273895263672,-54.916996002197266,-62.77040100097656,-71.08472442626953,0.07523715496063232,0.031408317387104034,1596.8425151087326,1896.0615453710336,24.466925418995096,17.378711118634513,22.14648228816614,42.50390032340218,0.003544810926541686,0.031976282596588135,797.7477797209452,0.17000000000000004
46,2-14 Canon In D Major.wav,classical,351.9912925170068,117.45383522727273,0.7717678100263853,0.42381266490765174,-67.43910217285156,-39.592262268066406,-38.47467041015625,-48.71419143676758,-57.779396057128906,-69.14012908935547,-77.8218002319336,0.04387049376964569,0.02027362771332264,1325.95592785278,1331.619134813785,28.40347523779662,18.997299460085088,23.359293244992735,52.74164124405453,0.001518657198175788,0.0027845012955367565,835.3753597692323,0.17000000000000004
47,2-36 Carmen Suite No. 1_ Les Toreado.wav,classical,142.59201814058957,117.45383522727273,0.26054388536069045,0.42810617163328446,-70.44464874267578,-41.355873107910156,-38.759132385253906,-48.1746826171875,-57.817535400390625,-65.21693420410156,-71.42340850830078,0.06854911893606186,0.034659143537282944,1796.784894735926,1934.0100328902622,28.07268287884686,14.471558122203412,18.88477571892779,41.877471789664526,0.011590211652219296,0.12584225833415985,1088.6399947903944,0.07000000000000006
48,1-24 Bagatelle for Piano In A Minor.wav,classical,166.3536507936508,151.99908088235293,1.01884159106769,0.35826936496859735,-69.54756927490234,-47.093379974365234,-46.7672119140625,-63.2879638671875,-78.21760559082031,-79.89283752441406,-79.996337890625,0.027357593178749084,0.017491981387138367,634.7754073729841,705.1912290698275,24.955602416452937,16.884687615064415,24.693184585251718,48.98420805373131,0.001750555238686502,0.002616246696561575,497.75058402935275,0.17000000000000004
49,"2-08 Ah, Silly Soul.wav",classical,199.39020408163265,129.19921875,0.8965999068467629,0.34047508150908246,-55.48308181762695,-50.96989059448242,-46.858211517333984,-56.71880340576172,-63.78101348876953,-73.26048278808594,-77.8410415649414,0.09182911366224289,0.06771694123744965,1500.2383083378954,1565.378394226434,23.847971255413025,22.150332346915963,28.150446141137504,47.61019482635988,0.002942486898973584,0.10846979171037674,949.7050242252998,0.020000000000000018
50,09 Antidote.wav,hiphop,262.70521541950114,129.19921875,0.5214778150963408,0.6321371751811914,-35.728294372558594,-38.32691192626953,-41.165008544921875,-45.858253479003906,-57.36224365234375,-61.0026741027832,-62.857479095458984,0.3284623920917511,0.17404381930828094,2123.9452544707756,2444.9279170147306,20.408228389180668,15.455315949297008,18.416590682824054,36.41616393476243,0.014603816904127598,0.3767387568950653,1177.18618499826,0.010000000000000009
51,01 Where The Hood At_.wav,hiphop,292.41333333333336,92.28515625,0.6908051453072892,0.7414641892964904,-45.129638671875,-34.268646240234375,-36.22901153564453,-39.242279052734375,-47.2042236328125,-51.020904541015625,-57.176509857177734,0.34744006395339966,0.1458175927400589,2494.50847318161,2529.7998703474177,20.889124990267973,14.498728660912027,16.7927924016095,33.79531369418269,0.059092842042446136,0.3260350823402405,1545.5253931838822,0.050000000000000044
52,11 Window Shopper.wav,hiphop,190.30666666666667,86.1328125,0.14641288433382138,0.9177647632991703,-37.414581298828125,-28.807546615600586,-33.43407440185547,-42.7856559753418,-48.28618621826172,-54.972808837890625,-57.441505432128906,0.2636451721191406,0.11131143569946289,2397.189574591832,2689.6524549193914,22.604465566775616,16.245803596913156,19.169653829471955,34.05389885611036,0.023864980787038803,0.2847934067249298,1325.794797481241,0.010000000000000009
53,01 Truffle Butter [feat. Drake] [Exp.wav,hiphop,219.24,103.359375,0.08472781190425757,0.9763821224316882,-27.94005584716797,-32.68989944458008,-37.77203369140625,-45.42994689941406,-51.78839874267578,-53.47870635986328,-58.48386764526367,0.28464534878730774,0.09564346820116043,2398.6790840115373,2670.1360950673325,22.489531054001866,18.016699655852943,19.855629029402234,34.61461704112261,0.022369952872395515,0.3124672472476959,1417.161627609683,0.020000000000000018
54,01 Watch Out.wav,hiphop,207.81333333333333,129.19921875,0.6145251396648044,0.6911731843575419,-69.99274444580078,-60.719703674316406,-50.937313079833984,-55.032432556152344,-59.46563720703125,-70.50318145751953,-70.83271026611328,0.1626407355070114,0.13699226081371307,2233.076519064897,2128.6933987233697,22.486804253521292,19.039312975722478,21.736457531766945,38.88599466162979,0.018260018900036812,0.32997825741767883,1560.0613188503842,0.030000000000000027
